time x y z pitch mu rL Rc gyrophase
28.6513 0.551409 26.8667 25.9587 0.407228 1.01039e-31 0.396065 inf 2.79356
28.777 0.583957 27.0262 26.03 0.407228 1.01039e-31 0.396065 inf 2.61596
28.9027 0.627004 27.1809 26.1061 0.40723 1.01041e-31 0.396068 inf 2.43837
29.0283 0.679198 27.3296 26.1882 0.407229 1.01039e-31 0.396065 inf 2.26076
29.154 0.738895 27.4712 26.2773 0.407229 1.01039e-31 0.396066 inf 2.08317
29.2796 0.804218 27.605 26.3743 0.407229 1.0104e-31 0.396066 inf 1.90557
29.4053 0.873112 27.7304 26.4797 0.407229 1.0104e-31 0.396066 inf 1.72797
29.531 0.943409 27.8469 26.5939 0.407229 1.0104e-31 0.396067 inf 1.55037
29.6566 1.0129 27.9547 26.7169 0.407229 1.01039e-31 0.396066 inf 1.37278
29.7823 1.07939 28.0539 26.8484 0.407229 1.0104e-31 0.396067 inf 1.19518
29.908 1.1408 28.1451 26.988 0.407229 1.0104e-31 0.396068 inf 1.01758
30.0336 1.1952 28.229 27.1349 0.407229 1.0104e-31 0.396067 inf 0.839978
30.1593 1.24086 28.3066 27.2881 0.407229 1.01039e-31 0.396066 inf 0.662384
30.285 1.27636 28.379 27.4464 0.407229 1.01039e-31 0.396066 inf 0.484785
30.4106 1.30058 28.4477 27.6085 0.407229 1.0104e-31 0.396067 inf 0.307184
30.5363 1.31275 28.5141 27.7729 0.40723 1.0104e-31 0.396068 inf 0.129586
30.6619 1.31249 28.5798 27.938 0.407228 1.01039e-31 0.396065 inf 6.23517
30.7876 1.29982 28.6463 28.1023 0.407228 1.01039e-31 0.396066 inf 6.05757
30.9133 1.27513 28.7151 28.2642 0.40723 1.01041e-31 0.396068 inf 5.87998
31.0389 1.23919 28.7878 28.4223 0.407229 1.01039e-31 0.396066 inf 5.70238
31.1646 1.19314 28.8656 28.5753 0.407229 1.0104e-31 0.396067 inf 5.52478
31.2903 1.13843 28.9497 28.7219 0.407229 1.01039e-31 0.396065 inf 5.34718
31.4159 1.07678 29.0412 28.8612 0.407229 1.0104e-31 0.396067 inf 5.16958
31.5416 1.01012 29.1408 28.9924 0.407229 1.01039e-31 0.396066 inf 4.99198
31.6673 0.940551 29.2489 29.1151 0.407229 1.01039e-31 0.396066 inf 4.81438
31.7929 0.870267 29.3658 29.2289 0.407229 1.01039e-31 0.396066 inf 4.63679
31.9186 0.801477 29.4915 29.334 0.407228 1.0104e-31 0.396066 inf 4.45919
32.0442 0.736343 29.6257 29.4306 0.407229 1.0104e-31 0.396067 inf 4.28159
32.1699 0.676916 29.7676 29.5195 0.407229 1.01039e-31 0.396065 inf 4.104
32.2956 0.625065 29.9166 29.6013 0.407229 1.01039e-31 0.396066 inf 3.92639
32.4212 0.58242 30.0715 29.6771 0.407229 1.0104e-31 0.396066 inf 3.74879
32.5469 0.550323 30.2311 29.7483 0.407229 1.0104e-31 0.396067 inf 3.57119
32.6726 0.529784 30.3941 29.8161 0.407229 1.0104e-31 0.396067 inf 3.3936
32.7982 0.52145 30.5588 29.8821 0.407229 1.01039e-31 0.396065 inf 3.216
32.9239 0.525582 30.7239 29.9479 0.407228 1.01039e-31 0.396065 inf 3.0384
33.0496 0.54205 30.8876 30.0149 0.40723 1.0104e-31 0.396068 inf 2.8608
33.1752 0.570336 31.0485 30.0848 0.407229 1.01039e-31 0.396066 inf 2.6832
33.3009 0.609551 31.2052 30.1589 0.407229 1.01039e-31 0.396066 inf 2.5056
33.4265 0.658461 31.3563 30.2385 0.407229 1.0104e-31 0.396067 inf 2.32801
33.5522 0.715526 31.5007 30.3249 0.407229 1.0104e-31 0.396067 inf 2.15041
33.6779 0.778953 31.6376 30.4188 0.407229 1.01039e-31 0.396066 inf 1.97281
