it time x y z u v w Bx By Bz
496 31.1646 1.19314 28.8656 28.5753 -0.385233 0.630704 1.20574 0 1 1
498 31.2903 1.13843 28.9497 28.7219 -0.451008 0.683351 1.15309 0 1 1
500 31.4159 1.07678 29.0412 28.8612 -0.502595 0.743386 1.09306 0 1 1
502 31.5416 1.01012 29.1408 28.9924 -0.538371 0.808921 1.02752 0 1 1
504 31.6673 0.940551 29.2489 29.1151 -0.557211 0.877895 0.958549 0 1 1
506 31.7929 0.870267 29.3658 29.2289 -0.558522 0.948137 0.888307 0 1 1
508 31.9186 0.801477 29.4915 29.334 -0.542263 1.01744 0.819006 0 1 1
510 32.0442 0.736343 29.6257 29.4306 -0.508945 1.08362 0.752826 0 1 1
512 32.1699 0.676916 29.7676 29.5195 -0.459617 1.14459 0.691849 0 1 1
514 32.2956 0.625065 29.9166 29.6013 -0.395829 1.19845 0.637993 0 1 1
516 32.4212 0.58242 30.0715 29.6771 -0.31959 1.24349 0.592953 0 1 1
518 32.5469 0.550323 30.2311 29.7483 -0.233296 1.2783 0.558146 0 1 1
520 32.6726 0.529784 30.3941 29.8161 -0.139664 1.30178 0.534666 0 1 1
522 32.7982 0.52145 30.5588 29.8821 -0.041638 1.31319 0.523251 0 1 1
524 32.9239 0.525582 30.7239 29.9479 0.057698 1.31218 0.524263 0 1 1
526 33.0496 0.54205 30.8876 30.0149 0.155219 1.29878 0.537667 0 1 1
528 33.1752 0.570336 31.0485 30.0848 0.247857 1.2734 0.563043 0 1 1
530 33.3009 0.609551 31.2052 30.1589 0.332697 1.23685 0.599592 0 1 1
532 33.4265 0.658461 31.3563 30.2385 0.407072 1.19028 0.646165 0 1 1
534 33.5522 0.715526 31.5007 30.3249 0.468641 1.13515 0.701297 0 1 1
536 33.6779 0.778953 31.6376 30.4188 0.515467 1.07319 0.763253 0 1 1
538 33.8035 0.846745 31.7662 30.521 0.546077 1.00636 0.830083 0 1 1
540 33.9292 0.916771 31.8861 30.6318 0.559509 0.936757 0.899687 0 1 1
542 34.0549 0.986826 31.9972 30.7515 0.555339 0.866571 0.969873 0 1 1
544 34.1805 1.05471 32.0996 30.8799 0.533699 0.798009 1.03843 0 1 1
546 34.3062 1.11828 32.1937 31.0165 0.49527 0.733229 1.10321 0 1 1
548 34.4319 1.17554 32.2803 31.1608 0.441261 0.674269 1.16217 0 1 1
550 34.5575 1.2247 32.3601 31.3117 0.37337 0.622983 1.21346 0 1 1
552 34.6832 1.26419 32.4343 31.4682 0.293733 0.580985 1.25546 0 1 1
554 34.8088 1.29279 32.5043 31.629 0.204856 0.549595 1.28685 0 1 1
556 34.9345 1.30959 32.5714 31.7927 0.109535 0.529803 1.30664 0 1 1
558 35.0602 1.31406 32.6372 31.9577 0.0107678 0.522229 1.31422 0 1 1
560 35.1858 1.30606 32.7032 32.1225 -0.0883381 0.527112 1.30933 0 1 1
562 35.3115 1.28585 32.7709 32.2855 -0.184665 0.5443 1.29214 0 1 1
564 35.4372 1.25406 32.842 32.4453 -0.275183 0.57325 1.26319 0 1 1
566 35.5628 1.21168 32.9177 32.6003 -0.357043 0.613052 1.22339 0 1 1
568 35.6885 1.16006 32.9993 32.7495 -0.427672 0.662455 1.17399 0 1 1
570 35.8142 1.10081 33.0879 32.8916 -0.484847 0.719904 1.11654 0 1 1
572 35.9398 1.03581 33.1843 33.026 -0.52677 0.783591 1.05285 0 1 1
574 36.0655 0.967091 33.2892 33.1519 -0.552121 0.851514 0.98493 0 1 1
576 36.1911 0.896819 33.4028 33.2691 -0.560103 0.921535 0.914909 0 1 1
578 36.3168 0.827205 33.5252 33.3775 -0.550465 0.991452 0.844992 0 1 1
580 36.4425 0.760438 33.6562 33.4773 -0.523511 1.05907 0.777378 0 1 1
582 36.5681 0.69862 33.7952 33.5689 -0.480087 1.12225 0.714196 0 1 1
584 36.6938 0.643694 33.9417 33.6533 -0.421561 1.17901 0.657431 0 1 1
586 36.8195 0.597389 34.0945 33.7313 -0.349773 1.22757 0.608871 0 1 1
588 36.9451 0.561162 34.2525 33.804 -0.266982 1.2664 0.570043 0 1 1
590 37.0708 0.536151 34.4143 33.8729 -0.175792 1.29428 0.542167 0 1 1
592 37.1965 0.523145 34.5786 33.9395 -0.0790723 1.31032 0.526122 0 1 1
594 37.3221 0.522551 34.7437 34.0051 0.0201352 1.31403 0.522412 0 1 1
596 37.4478 0.534389 34.9081 34.0715 0.118709 1.30529 0.531153 0 1 1
598 37.5734 0.558286 35.0702 34.1401 0.213549 1.28437 0.55207 0 1 1
